part,model,source,target,source_risk,target_risk,tv,abs_gap_over_tv,model_arm_loss_disagreement,bound_holds,treatment,empirical_risk,population_risk,absolute_gap,hoeffding_radius
step2_trained_tv,ova-alpha-0,2,3,0.0001775720220878379,0.0003112552388222718,0.2664548458966009,0.0005017105854637385,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,3,0,0.0003112552388222718,0.00010812143043024257,0.5798359356089058,0.0003503298017890377,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,3,1,0.0003112552388222718,0.00011647977274786721,0.42847686776670113,0.0004545763860943287,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0,3,2,0.0003112552388222718,0.0001775720220878379,0.2664548458966009,0.0005017105854637385,7.15573433840433e-18,True,,,,,
step2_trained_tv,ova-alpha-0.5,0,1,0.007824796440719295,0.005011959215517452,0.27232900592007064,0.010328819788030286,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,0,2,0.007824796440719295,0.005169041160008874,0.4397316797430353,0.006039490450772972,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,0,3,0.007824796440719295,0.008445305411525265,0.5798359356089058,0.0010701457648608014,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,1,0,0.005011959215517452,0.007824796440719295,0.27232900592007064,0.010328819788030286,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,1,2,0.005011959215517452,0.005169041160008874,0.176048288085827,0.0008922662424007323,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,1,3,0.005011959215517452,0.008445305411525265,0.42847686776670113,0.008012909107329491,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,2,0,0.005169041160008874,0.007824796440719295,0.4397316797430353,0.006039490450772972,3.122502256758253e-17,True,,,,,
step2_trained_tv,ova-alpha-0.5,2,1,0.005169041160008874,0.005011959215517452,0.176048288085827,0.0008922662424007323,3.122502256758253e-17,True,,,,,
